ID;Trvanie;Deadline;Profit
Task1;270;06/01/2026 07:45;645
Task2;270;12/01/2026 07:45;349
Task3;150;06/01/2026 09:15;720
Task4;300;10/01/2026 11:15;288
Task5;180;05/01/2026 22:45;883
Task6;150;09/01/2026 23:00;773
Task7;270;09/01/2026 09:00;57
Task8;210;12/01/2026 07:00;689
Task9;270;07/01/2026 07:45;555
Task10;150;10/01/2026 00:15;618
Task11;300;06/01/2026 12:45;146
Task12;120;09/01/2026 10:30;897
Task13;240;09/01/2026 00:15;726
Task14;240;08/01/2026 14:00;475
Task15;240;08/01/2026 16:15;766
Task16;150;07/01/2026 18:30;811
Task17;210;09/01/2026 19:30;227
Task18;180;08/01/2026 10:30;440
Task19;300;09/01/2026 00:30;161
Task20;240;09/01/2026 17:00;417
Task21;120;07/01/2026 13:30;676
Task22;150;06/01/2026 12:00;592
Task23;300;10/01/2026 18:30;62
Task24;240;06/01/2026 15:30;296
Task25;240;11/01/2026 22:30;508
Task26;300;11/01/2026 12:30;505
Task27;300;12/01/2026 19:00;832
Task28;150;07/01/2026 09:30;487
Task29;270;09/01/2026 13:15;164
Task30;270;06/01/2026 23:45;731
Task31;180;11/01/2026 07:15;177
Task32;300;12/01/2026 16:30;842
Task33;210;11/01/2026 21:00;478
Task34;150;06/01/2026 14:15;289
Task35;180;06/01/2026 06:00;485
Task36;210;12/01/2026 07:00;753
Task37;270;05/01/2026 18:00;507
Task38;150;05/01/2026 06:30;758
Task39;150;06/01/2026 21:30;540
Task40;270;05/01/2026 09:15;526
Task41;300;09/01/2026 09:15;389
Task42;120;07/01/2026 14:30;370
Task43;300;08/01/2026 17:45;465
Task44;300;12/01/2026 09:45;460
Task45;150;07/01/2026 14:00;842
Task46;150;10/01/2026 17:45;789
Task47;270;09/01/2026 16:00;887
Task48;180;11/01/2026 16:15;522
Task49;210;05/01/2026 09:45;459
Task50;150;09/01/2026 13:00;899
Task51;210;08/01/2026 10:45;874
Task52;210;08/01/2026 08:00;114
Task53;270;10/01/2026 17:00;403
Task54;300;12/01/2026 15:15;737
Task55;210;09/01/2026 20:15;490
Task56;240;07/01/2026 12:30;518
Task57;150;06/01/2026 13:15;705
Task58;120;08/01/2026 08:00;81
Task59;240;09/01/2026 12:00;76
Task60;120;10/01/2026 07:15;734
Task61;210;10/01/2026 10:00;209
Task62;120;06/01/2026 02:00;379
Task63;270;12/01/2026 21:30;464
Task64;180;12/01/2026 13:15;560
Task65;150;08/01/2026 01:00;99
Task66;240;10/01/2026 11:15;333
Task67;180;10/01/2026 14:00;262
Task68;210;08/01/2026 03:30;121
Task69;150;09/01/2026 17:45;247
Task70;120;07/01/2026 18:15;245
Task71;240;06/01/2026 17:30;169
Task72;240;08/01/2026 09:00;646
Task73;150;12/01/2026 11:00;436
Task74;120;05/01/2026 12:00;594
Task75;300;09/01/2026 08:30;404
Task76;210;11/01/2026 13:30;386
Task77;240;11/01/2026 00:30;551
Task78;240;12/01/2026 13:15;155
Task79;180;11/01/2026 16:00;538
Task80;240;06/01/2026 18:15;399
Task81;270;09/01/2026 17:45;652
Task82;270;07/01/2026 05:30;552
Task83;180;10/01/2026 17:00;295
Task84;210;09/01/2026 09:45;826
Task85;120;05/01/2026 09:30;102
Task86;180;05/01/2026 21:00;857
Task87;240;09/01/2026 22:30;713
Task88;150;06/01/2026 07:30;639
Task89;150;12/01/2026 18:15;864
Task90;270;09/01/2026 07:30;195
Task91;120;09/01/2026 23:45;321
Task92;210;09/01/2026 20:15;211
Task93;150;05/01/2026 13:00;347
Task94;270;10/01/2026 04:30;737
Task95;270;11/01/2026 23:45;394
Task96;300;12/01/2026 22:30;452
Task97;300;09/01/2026 23:30;679
Task98;300;06/01/2026 16:15;891
Task99;180;11/01/2026 10:15;511
Task100;210;06/01/2026 04:45;661
