ID;Duration;Deadline;Profit
PresentationDesign;3;5;450
ReportWriting;2;4;600
CodeReview;1;3;300
MarketingPlan;4;6;720
PrototypeTesting;2;7;500
UIUXDesign;3;8;800
DatabaseSetup;2;5;560
SecurityAudit;1;4;650
Documentation;2;6;400
SystemAnalysis;5;10;850
BugFixing;1;3;320
PerformanceTuning;2;7;470
ClientMeetingPrep;1;6;390
IntegrationTest;3;9;760
Deployment;2;8;680
QAReview;1;7;420
TeamTraining;3;10;530
LegalCheck;1;6;310
UserFeedbackEval;2;9;570
ProjectClosure;2;10;610
BackendDevelopment;3;11;780
FrontendRefactor;2;12;510
DataMigration;4;13;620
SprintPlanning;1;11;330
StakeholderMeeting;1;12;440
UXResearch;2;13;590
MobileTesting;3;14;710
DesignReview;2;15;640
LoadTesting;3;16;730
PerformanceAudit;2;17;690
ReleaseNotesPrep;1;14;350
IncidentAnalysis;2;15;520
CustomerTraining;3;16;560
ToolingSetup;2;17;610
LogCleanup;1;13;280
TestCoverageReview;2;14;460
ModuleRefactor;3;15;700
IssueTriage;1;16;370
FeatureSpecWriting;2;17;580
DesignMockups;3;18;690
AnalyticsSetup;2;19;540
LegacyCodeRemoval;4;20;760
UserSurveyAnalysis;2;19;600
NewHireOnboarding;1;18;350
PartnerIntegration;3;20;720
APIValidation;2;19;490
SandboxDeployment;1;18;300
RequirementsReview;2;20;570
ScriptAutomation;2;19;530
MeetingMinutes;1;18;250
PatchDeployment;2;20;620
