ID;Trvanie;Deadline;Profit
Task1;40;11/01/2026 15:00;403
Task2;40;11/01/2026 22:45;332
Task3;30;09/01/2026 16:45;155
Task4;25;10/01/2026 14:45;824
Task5;15;05/01/2026 08:00;279
Task6;50;07/01/2026 07:45;719
Task7;45;07/01/2026 20:30;513
Task8;25;11/01/2026 15:15;162
Task9;25;05/01/2026 09:30;274
Task10;25;05/01/2026 23:30;560
Task11;15;07/01/2026 14:45;159
Task12;50;06/01/2026 20:45;870
Task13;20;07/01/2026 09:15;806
Task14;15;11/01/2026 07:00;259
Task15;40;09/01/2026 00:15;198
Task16;60;06/01/2026 03:00;812
Task17;60;08/01/2026 12:00;207
Task18;15;07/01/2026 13:15;254
Task19;15;08/01/2026 16:00;311
Task20;40;05/01/2026 19:00;80
Task21;20;09/01/2026 01:45;647
Task22;60;11/01/2026 09:00;865
Task23;30;05/01/2026 19:15;856
Task24;15;07/01/2026 22:45;697
Task25;45;08/01/2026 14:15;404
Task26;40;09/01/2026 20:00;697
Task27;50;10/01/2026 16:15;544
Task28;45;10/01/2026 18:00;657
Task29;15;11/01/2026 06:15;128
Task30;25;06/01/2026 20:00;705
Task31;50;07/01/2026 13:45;364
Task32;30;10/01/2026 11:15;184
Task33;30;06/01/2026 16:15;674
Task34;40;12/01/2026 14:15;543
Task35;60;08/01/2026 17:15;207
Task36;30;07/01/2026 07:45;810
Task37;15;09/01/2026 11:30;68
Task38;30;10/01/2026 16:15;871
Task39;60;07/01/2026 23:30;703
Task40;50;08/01/2026 21:15;608
Task41;20;06/01/2026 20:45;347
Task42;25;11/01/2026 10:00;676
Task43;15;06/01/2026 04:00;437
Task44;50;12/01/2026 21:45;99
Task45;20;10/01/2026 17:15;422
Task46;45;07/01/2026 16:45;321
Task47;45;12/01/2026 13:00;899
Task48;30;06/01/2026 13:15;156
Task49;45;11/01/2026 13:00;322
Task50;20;05/01/2026 00:45;62
Task51;30;12/01/2026 18:00;121
Task52;60;09/01/2026 22:45;625
Task53;15;06/01/2026 17:00;885
Task54;40;05/01/2026 09:00;408
Task55;50;11/01/2026 22:30;731
Task56;40;10/01/2026 18:30;711
Task57;50;10/01/2026 00:00;888
Task58;45;06/01/2026 18:45;839
Task59;40;10/01/2026 13:00;756
Task60;50;07/01/2026 17:00;766
Task61;45;07/01/2026 07:30;388
Task62;40;10/01/2026 15:15;242
Task63;15;08/01/2026 17:45;818
Task64;45;11/01/2026 09:45;74
Task65;25;06/01/2026 21:00;537
Task66;20;06/01/2026 13:45;397
Task67;30;11/01/2026 19:15;344
Task68;25;09/01/2026 05:15;885
Task69;45;12/01/2026 13:15;753
Task70;20;10/01/2026 21:30;637
Task71;15;12/01/2026 08:00;574
Task72;50;07/01/2026 09:00;419
Task73;20;11/01/2026 07:45;291
Task74;50;05/01/2026 11:45;659
Task75;30;12/01/2026 12:30;498
Task76;50;06/01/2026 18:15;425
Task77;60;09/01/2026 11:00;515
Task78;20;10/01/2026 15:45;815
Task79;25;07/01/2026 10:45;634
Task80;20;06/01/2026 14:15;371
Task81;60;12/01/2026 17:30;489
Task82;25;11/01/2026 10:45;528
Task83;60;10/01/2026 23:30;739
Task84;45;06/01/2026 08:00;561
Task85;60;08/01/2026 23:45;413
Task86;45;09/01/2026 19:45;745
Task87;50;09/01/2026 20:45;526
Task88;20;05/01/2026 07:30;829
Task89;25;07/01/2026 08:45;638
Task90;15;12/01/2026 19:15;457
Task91;25;07/01/2026 09:00;722
Task92;30;11/01/2026 21:00;327
Task93;45;11/01/2026 20:45;830
Task94;50;10/01/2026 19:30;458
Task95;60;11/01/2026 10:30;315
Task96;30;09/01/2026 08:30;572
Task97;50;10/01/2026 14:00;390
Task98;20;12/01/2026 12:45;760
Task99;40;05/01/2026 00:15;755
Task100;40;09/01/2026 19:15;522
